id,name,description,url,idParent,isGroup,sequence,state,active
farm.production.document,Production document,,/admin/farm/production-document,null,false,3,normal,true
farm.production.document.work.diary,Production document work diary,,/admin/farm/production-document/work-diary,farm.production.document,false,1,normal,true
farm.production.document.garden.check.diary,Production document garden check diary,,/admin/farm/production-document/garden-check-diary,farm.production.document,false,2,normal,true
farm.production.document.disease.management,Production document disease management,,/admin/farm/production-document/disease-management,farm.production.document,false,3,normal,true
farm.production.schedule,Production schedule,,/admin/farm/production-schedule,null,false,4,normal,true
farm.planting.schedule,Planting schedule,,/admin/farm/planting-schedule,farm.production.schedule,false,1,normal,true
farm.period.planting.schedule,Period of planting schedule,,/admin/farm/period-planting-schedule,farm.production.schedule,false,2,normal,true
farm.sample.planting.schedule,Sample planting schedule,,/admin/farm/sample-planting-schedule,farm.production.schedule,false,3,normal,true
farm.sample.period.planting.schedule,Sample period of planting schedule,,/admin/farm/sample-period-planting-schedule,farm.production.schedule,false,4,normal,true
